SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Mapped_reads	Mapping_Percent	Average_Coverage
A1159	324	27750336	502	1272604	3208	85649.19	25	364706	77	98236	99.6	99.6	0.0	0.1	0.3	4191	36709398	35445473	96.56	129.0
A1159-T0-2	302	27820343	503	1630670	4103	92120.34	23	365234	71	120241	99.5	99.5	0.0	0.1	0.4	4191	37667812	36606448	97.18	132.9
A1163	424	28884671	504	717521	5849	68124.22	32	272556	105	73005	99.5	99.4	0.1	0.3	0.2	4191	58575752	55645930	95.00	192.6
AF100-10A	2421	27320607	500	94802	7419	11284.84	433	19681	1389	5885	94.4	94.4	0.0	3.1	2.5	4191	6289918	4362590	69.36	24.1
AF100-10B	834	28019583	506	219367	18404	33596.62	126	68225	416	18637	98.2	98.2	0.0	0.8	1.0	4191	40671886	30558893	75.14	164.7
AF100-10C	1041	27943095	507	285966	14881	26842.55	151	55101	491	17140	98.3	98.3	0.0	1.0	0.7	4191	16277256	12920432	79.38	69.8
AF100-10_5	1340	27775769	500	199274	10527	20728.19	195	44917	638	11571	97.4	97.4	0.0	1.1	1.5	4191	8014394	6274697	78.29	34.1
AF100-11A	1141	28075209	500	225795	11453	24605.79	152	55212	517	14155	98.2	98.1	0.1	1.1	0.7	4191	12359076	9848490	79.69	53.0
AF100-11B	1359	27807128	501	183553	11589	20461.46	208	42448	655	12525	97.7	97.7	0.0	1.3	1.0	4191	6795562	5394505	79.38	29.3
AF100-11C	1008	28113144	500	310610	12641	27890.02	133	63141	454	15982	97.7	97.7	0.0	1.0	1.3	4191	19021076	15002782	78.87	80.6
AF100-11_3	1109	28100377	504	218825	13153	25338.48	158	52505	519	14821	98.1	98.1	0.0	1.0	0.9	4191	14337608	11190395	78.05	60.1
AF100-12_1	10	27455	530	11232	1832	2745.50	2	5625	7	881	0.0	0.0	0.0	0.0	100.0	4191	1796416	45167	2.51	248.4
AF100-12_10	1201	28218381	509	199819	11629	23495.74	172	50579	555	13492	97.5	97.5	0.0	1.2	1.3	4191	15856548	11479744	72.40	61.4
AF100-12_13	1344	27448305	500	217677	11072	20422.85	194	42598	658	11738	97.1	97.0	0.1	1.5	1.4	4191	11032698	7203809	65.30	39.6
AF100-12_17	1660	27651325	500	144812	9368	16657.42	266	32785	837	9241	96.4	96.4	0.0	1.7	1.9	4191	7993304	5704969	71.37	31.2
AF100-12_18	1415	27853986	500	205126	10458	19684.80	207	41715	696	10879	97.3	97.3	0.0	1.4	1.3	4191	6705700	5216883	77.80	28.3
AF100-12_2	1597	27972063	502	161319	9039	17515.38	234	36859	770	9790	96.9	96.9	0.0	1.4	1.7	4191	14520136	8619525	59.36	46.5
AF100-12_21	997	28277057	500	231618	13390	28362.14	135	61767	456	16725	98.4	98.4	0.0	0.9	0.7	4191	16789362	12273778	73.10	65.5
AF100-12_23	409	28167755	535	384887	49682	68869.82	74	124032	222	41957	99.2	99.2	0.0	0.3	0.5	4191	104130498	77192924	74.13	413.8
AF100-12_24	1550	27600553	500	152456	9419	17806.81	234	37226	743	10421	97.0	96.9	0.1	1.7	1.3	4191	17746250	9144864	51.53	50.0
AF100-12_25	688	28166128	501	313292	25843	40939.14	110	80793	351	24885	98.5	98.5	0.0	0.7	0.8	4191	59579222	45586568	76.51	244.4
AF100-12_26	782	28097030	502	261849	21281	35929.71	120	68937	415	18952	98.1	98.0	0.1	1.1	0.8	4191	60061562	41937570	69.82	225.4
AF100-12_27	616	28272711	490	301339	25200	45897.26	86	103002	292	28130	99.1	99.0	0.1	0.4	0.5	4191	79717374	57622003	72.28	307.7
AF100-12_2W	784	28229190	508	254926	21717	36006.62	118	72864	394	21658	98.1	98.1	0.0	0.9	1.0	4191	24692090	18184750	73.65	97.3
AF100-12_3	1329	27873416	513	211279	11295	20973.22	190	45346	634	12447	97.7	97.6	0.1	1.4	0.9	4191	10031116	7880539	78.56	42.7
AF100-12_32	577	28023539	503	374634	24036	48567.66	76	114110	252	30673	99.1	99.1	0.0	0.4	0.5	4191	5361078	4865342	90.75	26.2
AF100-12_35	627	28369535	502	373923	28130	45246.47	102	87127	331	25890	98.8	98.8	0.0	0.6	0.6	4191	150133432	104175244	69.39	554.5
AF100-12_37	1218	28142231	501	262937	12456	23105.28	170	48906	603	12513	97.4	97.4	0.0	1.2	1.4	4191	11718360	8402773	71.71	45.1
AF100-12_38	1289	27961472	501	234865	10835	21692.38	183	46258	602	12941	97.8	97.8	0.0	1.1	1.1	4191	12105490	8771064	72.46	47.4
AF100-12_39	1257	27803344	501	199410	11864	22118.81	182	46492	599	12904	97.9	97.9	0.0	1.2	0.9	4191	18520206	11198096	60.46	60.8
AF100-12_3G	1156	28239965	503	195613	13705	24429.04	181	50643	577	13714	97.5	97.5	0.0	1.4	1.1	4191	11937638	8591296	71.97	45.9
AF100-12_4	1018	27897515	506	209628	15361	27404.24	152	54921	513	15051	97.6	97.6	0.0	1.1	1.3	4191	23830186	16612040	69.71	89.9
AF100-12_40	1116	28135700	504	243813	14183	25211.20	172	50254	557	14206	97.3	97.3	0.0	1.4	1.3	4191	13125118	9377537	71.45	50.3
AF100-12_41	10	30177	598	9356	2172	3017.70	3	4380	7	1383	0.0	0.0	0.0	0.0	100.0	4191	1420374	21232	1.49	106.2
AF100-12_42	1	8356	8356	8356	8356	8356.00	1	8356	1	8356	NA	NA	NA	NA	NA	NA	504752	2282	0.45	41.2
AF100-12_43	1184	28115028	503	192158	11054	23745.80	162	53550	538	13838	97.9	97.9	0.0	1.1	1.0	4191	17040032	11125438	65.29	59.8
AF100-12_5	1206	28477216	507	198256	12308	23612.95	178	49714	566	14145	97.9	97.8	0.1	1.3	0.8	4191	26905612	18579580	69.05	98.5
AF100-12_7	1125	28002800	522	278740	14762	24891.38	177	46906	595	13586	96.9	96.9	0.0	1.7	1.4	4191	14078674	10226824	72.64	55.1
AF100-12_7G	2521	28756830	500	184297	3663	11406.91	295	29144	1028	6778	95.6	95.6	0.0	2.4	2.0	4191	12647862	8589021	67.91	45.1
AF100-12_8	1456	27648214	501	174943	10726	18989.16	224	39292	719	11057	97.4	97.3	0.1	1.6	1.0	4191	11117828	7094564	63.81	38.7
AF100-12_9	358	28174257	519	626286	50195	78699.04	61	158987	183	47432	99.3	99.2	0.1	0.2	0.5	4191	10549622	8532694	80.88	45.7
AF106-6_10	14	16031	507	8685	547	1145.07	1	8685	11	532	0.0	0.0	0.0	0.0	100.0	4191	411510	3679	0.89	34.7
AF106-6_2	1224	28019119	500	230057	12356	22891.44	181	48329	585	13505	97.7	97.6	0.1	1.2	1.1	4191	14510562	11165886	76.95	60.2
AF106-6_3	1570	28209095	500	190352	7163	17967.58	203	42400	667	11264	97.5	97.5	0.0	1.3	1.2	4191	13412346	9067677	67.61	48.5
AF106-6_4	9	31574	549	10702	2365	3508.22	2	6252	6	2090	0.0	0.0	0.0	0.0	100.0	4191	16512550	324745	1.97	1553.1
AF106-6_5	894	28166595	507	303447	19307	31506.26	142	61867	448	19301	97.7	97.7	0.0	1.0	1.3	4191	22903414	15079071	65.84	80.8
AF106-6_7	3	9826	843	7884	1099	3275.33	1	7884	2	1099	NA	NA	NA	NA	NA	NA	156142	1835	1.18	28.2
AF106-6_9	1290	27961259	504	254986	9614	21675.39	169	48729	573	13184	97.7	97.7	0.0	0.9	1.4	4191	15357488	10861789	70.73	58.7
AF210	1551	28264417	500	245374	3124	18223.35	156	53740	521	14289	98.3	98.3	0.0	0.9	0.8	4191	26375346	24328381	92.24	86.1
AF293	817	28486176	506	381330	11174	34866.80	96	95480	313	24854	99.1	98.8	0.3	0.4	0.5	4191	12997542	12817991	98.62	66.0
AF293-VKBR1	755	28644383	500	537709	5515	37939.58	66	129761	225	33143	98.2	98.1	0.1	0.8	1.0	4191	17206974	15894595	92.37	55.5
AF293-VKBR3	551	28460701	505	514980	17481	51652.81	59	145114	210	34014	98.3	98.2	0.1	0.6	1.1	4191	17575838	16408777	93.36	57.7
AF293-VKWH2	907	28329596	501	440416	12065	31234.39	104	79760	379	18121	96.4	96.3	0.1	1.3	2.3	4191	14611286	13601355	93.09	48.0
AF300	605	28375550	503	396751	19292	46901.74	73	116162	258	28357	97.5	97.4	0.1	1.0	1.5	4191	27413190	25585965	93.33	90.2
AF41	393	27755666	500	727354	6195	70625.10	34	289960	108	74121	99.6	99.6	0.0	0.1	0.3	4191	20239938	19567242	96.68	71.2
AF72	378	27750697	501	1006320	4649	73414.54	28	321171	95	77693	99.5	99.5	0.0	0.2	0.3	4191	23332242	22480415	96.35	81.8
AF90	273	28034803	535	1052378	19027	102691.59	27	339836	92	82973	99.5	99.5	0.0	0.1	0.4	4191	19123852	18433460	96.39	66.4
AFIS1435_CDC_6	305	28727013	511	701609	48002	94186.93	44	189878	141	57613	99.6	99.6	0.0	0.1	0.3	4191	9950322	9556017	96.04	49.9
AFIS_13708_CDC-14	183	28512978	500	1042025	65379	155808.62	23	440464	76	128079	99.5	99.5	0.0	0.2	0.3	4191	9405146	8921926	94.86	46.9
AFIS_2101_CDC-1	219	28221311	509	1222483	65808	128864.43	29	296928	96	86190	99.5	99.5	0.0	0.1	0.4	4191	7950440	7621061	95.86	40.5
AFIS_2302_CDC-18	173	27713534	513	1027728	83800	160193.84	26	369919	74	124591	97.9	97.9	0.0	0.2	1.9	4191	11539208	10795748	93.56	58.4
AFIS_23107_CDC-12	368	29126321	500	1334712	2014	79147.61	23	457792	70	116403	99.6	99.5	0.1	0.2	0.2	4191	11971216	11236077	93.86	57.9
AFUG_031815-1869	366	28212312	500	1117697	3487	77082.82	29	310809	87	84054	99.5	99.5	0.0	0.2	0.3	4191	13773732	13089105	95.03	69.6
AFUG_082015-1200	168	28076689	500	1524666	44884	167123.15	18	547139	57	133269	99.6	99.6	0.0	0.1	0.3	4191	14717304	14186722	96.39	75.8
AFUG_100413-0667	178	28280117	519	1137917	66092	158877.06	24	381651	74	112091	99.5	99.5	0.0	0.1	0.4	4191	13704438	13042881	95.17	69.2
AP65	447	27897377	510	771139	13839	62410.24	46	197717	145	47043	99.0	99.0	0.0	0.3	0.7	4191	36679036	36177593	98.63	129.7
ATCC46645	1821	29266612	501	168292	5954	16071.73	229	38888	763	9572	97.3	97.2	0.1	1.4	1.3	4191	7995924	6298322	78.77	32.5
ATCC_204305	746	27755903	504	317162	13726	37206.30	89	100487	303	26636	99.0	99.0	0.0	0.5	0.5	4191	16836460	16553858	98.32	83.3
ATCC_46645	925	29866369	500	436623	10445	32287.97	96	91318	353	20828	98.9	98.8	0.1	0.5	0.6	4191	18610838	18191224	97.75	85.7
AZTEC_10_245	942	28562115	501	249840	14701	30320.72	129	65901	436	18157	98.4	98.4	0.0	0.8	0.8	4191	17557894	14357025	81.77	75.9
AZTEC_11_1066	1531	27537578	500	175407	10315	17986.66	234	36197	767	10275	96.9	96.9	0.0	1.7	1.4	4191	6233802	4678852	75.06	25.7
AZTEC_12_128	1290	27582058	500	192045	11408	21381.44	188	44334	618	12652	97.6	97.4	0.2	1.3	1.1	4191	7761524	5897135	75.98	32.3
AZTEC_13_751	1229	27388425	515	191669	13063	22285.13	194	42342	634	12380	97.5	97.3	0.2	1.5	1.0	4191	9219362	7048002	76.45	38.9
AZTEC_14_484	1401	27775157	484	241263	10069	19825.24	203	42861	666	11572	97.6	97.6	0.0	1.5	0.9	4191	8027070	5996434	74.70	32.6
AZTEC_15_181	1192	27782809	502	213208	13837	23307.73	185	46144	598	13669	97.3	97.3	0.0	1.2	1.5	4191	10223762	8026994	78.51	43.6
AZTEC_16_237	9697	23519726	500	15868	1903	2425.46	2418	3122	7133	1221	45.2	45.2	0.0	19.5	35.3	4191	8581230	4919368	57.33	31.6
AZTEC_17_234	1437	27821680	500	188276	10213	19360.95	207	41030	689	11510	97.8	97.8	0.0	1.4	0.8	4191	10503188	7127426	67.86	38.7
AZTEC_18_233	1252	27950370	514	268225	10393	22324.58	163	51989	556	13635	97.9	97.9	0.0	1.1	1.0	4191	12791042	9330698	72.95	50.4
AZTEC_19_231	11714	26365846	500	18927	1717	2250.80	2755	3023	8390	1091	55.5	55.5	0.0	18.7	25.8	4191	11278208	7642197	67.76	43.8
AZTEC_1_235	7436	27416472	500	38683	2639	3686.99	1551	5559	4890	1771	78.0	78.0	0.0	11.5	10.5	4191	33290084	25682576	77.15	141.5
AZTEC_20_243	6654	27057267	500	33049	2894	4066.32	1372	6138	4363	1963	79.5	79.5	0.0	10.2	10.3	4191	9522990	6918603	72.65	38.6
AZTEC_2_251	813	28099867	509	319162	13453	34563.18	98	89497	336	22748	99.0	98.9	0.1	0.6	0.4	4191	50223484	42738351	85.10	229.7
AZTEC_3_226	910	28192695	501	275518	12731	30980.98	119	75345	388	19975	98.5	98.5	0.0	0.8	0.7	4191	36116080	29388215	81.37	157.4
AZTEC_4_250	1017	28129300	502	235327	12126	27659.10	135	64935	447	17082	98.5	98.5	0.0	0.8	0.7	4191	20089428	16754423	83.40	89.9
AZTEC_5_223	1203	28094905	505	273285	9968	23354.04	154	53543	510	14962	98.1	98.0	0.1	1.1	0.8	4191	12633914	9671959	76.56	52.0
AZTEC_6_232	831	28042094	506	292795	13761	33745.00	103	87607	349	21919	98.8	98.8	0.0	0.5	0.7	4191	23955746	19838178	82.81	106.8
AZTEC_7_225	668	28262088	501	414553	22145	42308.51	97	96171	305	27672	99.1	99.1	0.0	0.5	0.4	4191	64590968	55064122	85.25	294.2
AZTEC_8_224	1456	28052942	502	193762	9004	19267.13	205	43776	652	11762	97.5	97.4	0.1	1.0	1.5	4191	13315840	10296155	77.32	55.4
AZTEC_9_222	1204	28074389	514	245235	12610	23317.60	187	48458	584	13662	97.8	97.8	0.0	1.3	0.9	4191	14201472	10502286	73.95	56.5
A_fumigatus_v67-36	8	27480	835	7843	1869	3435.00	2	7560	6	1701	0.0	0.0	0.0	0.0	100.0	4191	9617266	208834	2.17	273.6
A_fumigatus_v67-37	8	29972	810	7843	2322	3746.50	2	7791	6	1825	0.0	0.0	0.0	0.0	100.0	4191	17223050	407878	2.37	489.9
Af-M1509-D	220	28201970	505	766909	30411	128190.77	26	392279	75	90863	99.5	99.4	0.1	0.2	0.3	4191	53371410	50817876	95.22	182.0
Af10	913	28423084	500	466080	6994	31131.53	92	96811	314	23518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Af293	290	28527102	512	1700927	6299	98369.32	22	393637	68	120436	99.6	99.5	0.1	0.1	0.3	4191	50201274	48509029	96.63	170.0
Af65	282	28804800	505	1100696	11449	102144.68	26	363712	76	96425	99.6	99.5	0.1	0.1	0.3	4191	62887702	61188384	97.30	212.4
Afu_1042_09	229	28260034	501	1732743	13280	123406.26	20	445170	66	114631	99.6	99.6	0.0	0.1	0.3	4191	45321276	42982733	94.84	152.1
Afu_124_E11	256	28146672	500	1187714	9701	109947.94	21	436631	71	108472	99.6	99.6	0.0	0.0	0.4	4191	53577038	51839341	96.76	184.2
Afu_166_E11	265	28133002	501	1112072	6403	106162.27	21	514625	65	114472	99.6	99.6	0.0	0.1	0.3	4191	46546148	44754818	96.15	159.1
Afu_218_E11	257	28141101	500	1720452	9488	109498.45	20	506681	67	109674	99.6	99.6	0.0	0.1	0.3	4191	49804312	48209785	96.80	171.3
Afu_257_E11	242	28156171	500	1577607	11154	116347.81	19	446932	67	108472	99.6	99.6	0.0	0.1	0.3	4191	36254252	34987459	96.51	124.3
Afu_343_P_11	499	28871011	500	1623155	2600	57857.74	24	418909	100	63778	99.7	99.6	0.1	0.1	0.2	4191	41294352	39985369	96.83	138.5
Afu_591_12	275	28090820	500	1622055	7225	102148.44	19	449466	68	110519	99.6	99.6	0.0	0.1	0.3	4191	40990108	39606510	96.62	141.0
Afu_942_09	231	28197192	500	1249977	16218	122065.77	19	449466	65	110518	99.6	99.6	0.0	0.1	0.3	4191	47588640	46044886	96.76	163.3
B10540_CDC-20	212	28123514	511	1068758	54146	132658.08	29	340340	86	106365	99.5	99.5	0.0	0.2	0.3	4191	10872076	10456990	96.18	55.8
B1821_CDC-8	347	29439742	500	646039	12642	84840.76	36	315550	108	70496	99.6	99.5	0.1	0.1	0.3	4191	8360532	8011178	95.82	40.8
B5224_CDC-21	188	28141109	500	1150607	37233	149686.75	21	440114	64	127722	99.6	99.6	0.0	0.1	0.3	4191	10782810	10263930	95.19	54.7
B5257_CDC-28	181	28648688	564	1538344	39740	158280.04	19	469377	65	121553	99.5	99.5	0.0	0.2	0.3	4191	15353858	14799698	96.39	77.5
B5258_CDC_22	299	28688329	504	727626	29024	95947.59	34	302177	108	67527	99.5	99.5	0.0	0.1	0.4	4191	8559474	8137845	95.07	42.5
B5259_CDC-23	192	27995057	513	1219291	25748	145807.59	22	431667	65	140553	99.5	99.5	0.0	0.2	0.3	4191	8771412	8201842	93.51	43.9
B5269_CDC-24	268	28088570	503	1310694	20393	104808.10	26	330574	85	87471	97.6	97.6	0.0	0.1	2.3	4191	8154826	7721199	94.68	41.2
B5288_CDC-16	457	29044354	503	1217382	3444	63554.39	24	391812	89	68961	99.6	99.5	0.1	0.1	0.3	4191	10797128	10328834	95.66	53.3
B5289_CDC-25	381	28624735	502	992315	8537	75130.54	33	277546	109	70538	97.2	97.1	0.1	0.2	2.6	4191	8190502	7590943	92.68	39.8
B5460_CDC-13	251	28647558	527	869082	39741	114133.70	31	295096	96	86930	99.5	99.5	0.0	0.2	0.3	4191	10599330	10116134	95.44	53.0
B5461_CDC-2	220	27845500	513	1317016	28396	126570.45	27	371952	77	108858	97.4	97.4	0.0	0.1	2.5	4191	12420716	11630140	93.64	62.7
B5852	1020	28134673	502	343274	9289	27583.01	121	70967	402	19299	99.1	99.1	0.0	0.5	0.4	4191	12738883	12189108	95.68	43.3
B5854	1023	28141348	502	401561	8109	27508.65	118	73303	392	19434	99.2	99.2	0.0	0.4	0.4	4191	13105067	12489235	95.30	44.4
B5856	1023	28142923	502	338489	9638	27510.19	120	72058	408	18988	99.0	99.0	0.0	0.5	0.5	4191	13349566	12569676	94.16	44.7
B5859	1387	28751779	500	299408	2714	20729.47	122	70896	419	18103	99.3	99.2	0.1	0.4	0.3	4191	12459620	11953176	95.94	41.6
B5863	1006	28136147	502	343308	7896	27968.34	115	77172	375	20166	99.3	99.3	0.0	0.2	0.5	4191	13167688	12661233	96.15	45.0
B5866	967	28136335	512	401566	8228	29096.52	111	80192	367	21353	99.3	99.3	0.0	0.2	0.5	4191	13892071	13352375	96.12	47.5
B5868	1005	28131597	502	371821	8722	27991.64	119	72197	390	19747	99.2	99.2	0.0	0.3	0.5	4191	11801912	11317991	95.90	40.2
B5960_CDC_29	292	28258860	528	706516	44645	96776.92	40	215734	132	60776	99.4	99.4	0.0	0.2	0.4	4191	9200656	8787994	95.51	46.6
B6069	1210	28752938	500	649896	2846	23762.76	95	91215	343	19165	99.4	99.3	0.1	0.3	0.3	4191	14762569	13916508	94.27	48.4
B6074	1063	28554591	500	630839	5011	26862.27	101	84988	350	19600	99.4	99.3	0.1	0.3	0.3	4191	12467762	11837573	94.95	41.5
B6078	1093	28548078	500	630838	5181	26119.01	102	85370	363	19122	99.1	99.0	0.1	0.4	0.5	4191	9611303	9058507	94.25	31.7
B6079	1028	28567131	500	630841	4773	27789.04	97	91659	332	21895	99.3	99.2	0.1	0.3	0.4	4191	14734464	13983068	94.90	48.9
B6081	1370	29285925	500	630822	5159	21376.59	139	61222	486	15057	98.8	98.7	0.1	0.6	0.6	4191	6519497	6089286	93.40	20.8
B6892_CDC-3	182	28088681	544	1294553	47063	154333.41	22	418938	69	107207	99.6	99.6	0.0	0.1	0.3	4191	8922476	8513298	95.41	45.5
B6893_CDC-4	282	28274158	527	713411	50892	100262.97	39	240881	132	56826	99.5	99.5	0.0	0.1	0.4	4191	8988906	8574408	95.39	45.5
B6894_CDC_5	329	28286615	527	490107	46098	85977.55	50	183296	156	53182	99.5	99.5	0.0	0.1	0.4	4191	9001330	8606435	95.61	45.6
B72911_CDC-15	191	28046340	507	1124429	78097	146839.48	29	318938	86	109987	99.6	99.6	0.0	0.1	0.3	4191	10979180	10398293	94.71	55.6
B7444_CDC-7	178	28442646	517	1370428	78614	159790.15	21	430241	75	111166	99.6	99.6	0.0	0.1	0.3	4191	11143712	10558780	94.75	55.7
B7518_CDC-26	330	28517975	500	954575	2363	86418.11	25	401071	71	131998	97.9	97.9	0.0	0.2	1.9	4191	10844772	10191846	93.98	53.6
B7586_CDC-30	416	28831550	507	1146366	2606	69306.61	23	436297	78	106968	99.6	99.6	0.0	0.1	0.3	4191	10854638	10335413	95.22	53.8
B7594_CDC_27	262	28384947	511	706566	62972	108339.49	38	222896	129	63551	99.4	99.4	0.0	0.2	0.4	4191	9612414	9174945	95.45	48.5
B8783_CDC-17	8	33112	846	9135	3709	4139.00	3	5790	6	2243	0.0	0.0	0.0	0.0	100.0	4191	1959014	43195	2.20	197.0
B9781_CDC-19	10204	21445868	500	18366	1632	2101.71	2533	2726	7446	1058	29.0	29.0	0.0	19.8	51.2	4191	3800888	1214037	31.94	8.5
C56A.1-1.1	6156	28652540	474	427434	890	4654.41	219	29894	2261	1052	87.9	87.8	0.1	4.7	7.4	4191	9838258	9220936	93.73	48.3
CEA10	843	28947214	502	355619	12711	34338.33	98	91642	344	22425	98.8	98.7	0.1	0.6	0.6	4191	14663344	14440046	98.48	70.9
CEA10-2	955	28714873	501	293099	12519	30067.93	117	72534	414	16889	96.5	96.4	0.1	1.3	2.2	4191	34581872	32549134	94.12	113.4
CEA10-MCH	836	28695598	503	349672	14125	34324.88	93	90296	349	19311	97.3	97.2	0.1	1.0	1.7	4191	32380220	30348351	93.72	105.8
CF098	1711	28199195	501	255278	6312	16481.12	194	44482	705	10025	96.5	95.8	0.7	1.6	1.9	4191	83854586	79772703	95.13	282.9
CF337	1394	28049368	501	192513	9142	20121.50	172	48641	605	11906	97.5	97.2	0.3	1.0	1.5	4191	72546850	70465950	97.13	251.2
CM2141	923	29398963	500	310698	8660	31851.53	96	91947	340	23826	98.9	98.8	0.1	0.5	0.6	4191	24338538	24042856	98.79	111.4
CM237	1067	29154331	500	414520	5440	27323.65	101	91912	358	19605	99.2	99.0	0.2	0.3	0.5	4191	16622150	16442762	98.92	81.9
CM2495	675	26824303	509	271243	22824	39739.71	97	85619	325	24863	98.8	98.8	0.0	0.6	0.6	4191	9775974	9723655	99.46	52.8
CM2730	639	27412832	506	293857	24767	42899.58	94	94504	304	26783	98.9	98.8	0.1	0.4	0.7	4191	13437208	13175762	98.05	69.5
CM2733	688	27454029	504	287596	20121	39904.11	95	98668	295	26599	99.0	98.9	0.1	0.5	0.5	4191	13538146	13415259	99.09	71.4
CM3248	793	27840499	500	375608	13377	35107.82	87	98858	316	25172	99.2	99.2	0.0	0.3	0.5	4191	12535742	12417713	99.06	65.4
CM3249	883	27392921	502	328925	17601	31022.56	127	64532	411	20398	98.1	98.0	0.1	0.9	1.0	4191	9012008	8770405	97.32	46.5
CM3249b	705	27227899	505	317997	21776	38621.13	101	82758	319	26262	98.9	98.8	0.1	0.6	0.5	4191	12879660	12792776	99.33	69.0
CM3262	745	27534685	499	471495	15905	36959.31	96	95663	313	24515	98.9	98.8	0.1	0.5	0.6	4191	12340190	12211202	98.95	64.4
CM3720	701	27459253	505	374429	15394	39171.54	91	98830	288	26807	99.1	99.0	0.1	0.4	0.5	4191	14936228	14674229	98.25	77.8
CM4602	734	27447640	503	293117	19190	37394.60	98	88260	325	24666	98.7	98.6	0.1	0.7	0.6	4191	12085868	11868337	98.20	63.4
CM4946	770	27567566	501	332679	12344	35802.03	93	95878	303	25886	98.6	98.5	0.1	0.7	0.7	4191	18134440	17718484	97.71	90.7
CM5419	969	28769592	501	494542	8841	29689.98	104	81189	370	20589	98.9	98.9	0.0	0.5	0.6	4191	17711194	17373697	98.09	85.0
CM5757	670	28455323	506	496389	19297	42470.63	83	108020	291	27827	98.9	98.9	0.0	0.5	0.6	4191	22799246	22421548	98.34	109.4
CM6126	960	28596367	501	344623	11649	29787.88	112	77526	392	20594	98.7	98.7	0.0	0.6	0.7	4191	14579618	14383266	98.65	70.9
CM6458	770	28556157	500	387769	11244	37085.92	82	102949	293	24133	99.0	99.0	0.0	0.5	0.5	4191	26498234	25816101	97.43	123.4
CM7510	834	28667374	510	398439	18100	34373.35	115	78979	387	21226	98.7	98.6	0.1	0.6	0.7	4191	14379684	14143131	98.35	69.7
CM7555	561	28762427	503	407655	28706	51269.92	85	108456	277	29860	98.9	98.9	0.0	0.5	0.6	4191	38887710	37079484	95.35	167.7
